"ELM"	"GOTerm"
"DEG_SCF_SKP2-CKS1_1"	"GO:0006511"
"DEG_SCF_SKP2-CKS1_1"	"GO:0004842"
"DEG_SCF_TIR1_1"	"GO:0009734"
"DEG_SCF_TIR1_1"	"GO:0005634"
"DEG_SCF_TIR1_1"	"GO:0005515"
"DEG_SCF_TIR1_1"	"GO:0031396"
"DEG_SCF_TIR1_1"	"GO:0019005"
"DEG_SCF_TIR1_1"	"GO:0006511"
"DEG_SCF_TIR1_1"	"GO:0004842"
"DEG_SCF_TRCP1_1"	"GO:0051301"
"DEG_SCF_TRCP1_1"	"GO:0005694"
"DEG_SCF_TRCP1_1"	"GO:0005829"
"DEG_SCF_TRCP1_1"	"GO:0006281"
"DEG_SCF_TRCP1_1"	"GO:0007094"
"DEG_SCF_TRCP1_1"	"GO:0005654"
"DEG_SCF_TRCP1_1"	"GO:0005634"
"DEG_SCF_TRCP1_1"	"GO:0005515"
"DEG_SCF_TRCP1_1"	"GO:0007346"
"DEG_SCF_TRCP1_1"	"GO:0031396"
"DEG_SCF_TRCP1_1"	"GO:0004840"
"DEG_SCF_TRCP1_1"	"GO:0006511"
"DEG_SCF_TRCP1_1"	"GO:0004842"
"DEG_SIAH_1"	"GO:0005829"
"DEG_SIAH_1"	"GO:0005634"
"DEG_SIAH_1"	"GO:0005515"
"DEG_SIAH_1"	"GO:0031396"
"DEG_SIAH_1"	"GO:0007264"
"DEG_SIAH_1"	"GO:0004840"
"DEG_SIAH_1"	"GO:0006511"
"DEG_SIAH_1"	"GO:0004842"
"DEG_SPOP_SBC_1"	"GO:0031463"
"DEG_SPOP_SBC_1"	"GO:0016874"
"DEG_SPOP_SBC_1"	"GO:0016607"
"DEG_SPOP_SBC_1"	"GO:0005634"
"DEG_SPOP_SBC_1"	"GO:0016567"
"DEG_SPOP_SBC_1"	"GO:0031625"
"DOC_AGCK_PIF_1"	"GO:0004676"
"DOC_AGCK_PIF_1"	"GO:0005829"
"DOC_AGCK_PIF_1"	"GO:0009898"
"DOC_AGCK_PIF_1"	"GO:0006468"
"DOC_AGCK_PIF_1"	"GO:0005515"
"DOC_AGCK_PIF_1"	"GO:0004674"
"DOC_AGCK_PIF_1"	"GO:0007165"
"DOC_AGCK_PIF_2"	"GO:0004676"
"DOC_AGCK_PIF_2"	"GO:0005829"
"DOC_AGCK_PIF_2"	"GO:0009898"
"DOC_AGCK_PIF_2"	"GO:0006468"
"DOC_AGCK_PIF_2"	"GO:0005515"
"DOC_AGCK_PIF_2"	"GO:0004674"
"DOC_AGCK_PIF_2"	"GO:0007165"
"DOC_AGCK_PIF_3"	"GO:0004676"
"DOC_AGCK_PIF_3"	"GO:0005829"
"DOC_AGCK_PIF_3"	"GO:0009898"
"DOC_AGCK_PIF_3"	"GO:0006468"
"DOC_AGCK_PIF_3"	"GO:0005515"
"DOC_AGCK_PIF_3"	"GO:0004674"
"DOC_AGCK_PIF_3"	"GO:0007165"
"DOC_ANK_TNKS_1"	"GO:0001309"
"DOC_ANK_TNKS_1"	"GO:0071532"
"DOC_ANK_TNKS_1"	"GO:0030877"
"DOC_ANK_TNKS_1"	"GO:0000781"
"DOC_ANK_TNKS_1"	"GO:0005829"
"DOC_ANK_TNKS_1"	"GO:0035145"
"DOC_ANK_TNKS_1"	"GO:0005634"
"DOC_ANK_TNKS_1"	"GO:2000060"
"DOC_ANK_TNKS_1"	"GO:0005515"
"DOC_ANK_TNKS_1"	"GO:0070212"
"DOC_ANK_TNKS_1"	"GO:0006275"
"DOC_ANK_TNKS_1"	"GO:0000922"
"DOC_CDC14_PxL_1"	"GO:0051301"
"DOC_CDC14_PxL_1"	"GO:0005829"
"DOC_CDC14_PxL_1"	"GO:0007096"
"DOC_CDC14_PxL_1"	"GO:0071850"
"DOC_CDC14_PxL_1"	"GO:0005730"
"DOC_CDC14_PxL_1"	"GO:0005634"
"DOC_CDC14_PxL_1"	"GO:0004721"
"DOC_CKS1_1"	"GO:0007049"
"DOC_CKS1_1"	"GO:0016538"
"DOC_CKS1_1"	"GO:0005829"
"DOC_CKS1_1"	"GO:0005634"
"DOC_CKS1_1"	"GO:0005515"
"DOC_CKS1_1"	"GO:0000079"
"DOC_CYCLIN_D_Helix_1"	"GO:0051301"
"DOC_CYCLIN_D_Helix_1"	"GO:0016538"
"DOC_CYCLIN_D_Helix_1"	"GO:0005829"
"DOC_CYCLIN_D_Helix_1"	"GO:0000082"
"DOC_CYCLIN_D_Helix_1"	"GO:0031571"
"DOC_CYCLIN_D_Helix_1"	"GO:0071157"
"DOC_CYCLIN_D_Helix_1"	"GO:0031965"
"DOC_CYCLIN_D_Helix_1"	"GO:0005634"
"DOC_CYCLIN_D_Helix_1"	"GO:0019901"
"DOC_CYCLIN_RevRxL_6"	"GO:0051301"
"DOC_CYCLIN_RevRxL_6"	"GO:0016538"
"DOC_CYCLIN_RevRxL_6"	"GO:0005829"
"DOC_CYCLIN_RevRxL_6"	"GO:0005634"
"DOC_CYCLIN_RevRxL_6"	"GO:0006468"
"DOC_CYCLIN_RevRxL_6"	"GO:0019901"
"DOC_CYCLIN_RevRxL_6"	"GO:0000321"
"DOC_CYCLIN_RevRxL_6"	"GO:0007089"
"DOC_CYCLIN_RxL_1"	"GO:0015030"
"DOC_CYCLIN_RxL_1"	"GO:0007049"
"DOC_CYCLIN_RxL_1"	"GO:0051301"
"DOC_CYCLIN_RxL_1"	"GO:0005814"
"DOC_CYCLIN_RxL_1"	"GO:0051298"
"DOC_CYCLIN_RxL_1"	"GO:0030332"
"DOC_CYCLIN_RxL_1"	"GO:0004861"
"DOC_CYCLIN_RxL_1"	"GO:0016538"
"DOC_CYCLIN_RxL_1"	"GO:0005829"
"DOC_CYCLIN_RxL_1"	"GO:0016020"
"DOC_CYCLIN_RxL_1"	"GO:0005634"
"DOC_CYCLIN_RxL_1"	"GO:0045787"
"DOC_CYCLIN_RxL_1"	"GO:0006468"
"DOC_CYCLIN_RxL_1"	"GO:0019901"
"DOC_CYCLIN_RxL_1"	"GO:0000079"
"DOC_CYCLIN_RxL_1"	"GO:0030528"
"DOC_CYCLIN_RxL_1"	"GO:0016032"
"DOC_CYCLIN_yClb1_LxF_4"	"GO:0051301"
"DOC_CYCLIN_yClb1_LxF_4"	"GO:0016538"
"DOC_CYCLIN_yClb1_LxF_4"	"GO:0005829"
"DOC_CYCLIN_yClb1_LxF_4"	"GO:0000086"
"DOC_CYCLIN_yClb1_LxF_4"	"GO:0044772"
"DOC_CYCLIN_yClb1_LxF_4"	"GO:0005634"
"DOC_CYCLIN_yClb1_LxF_4"	"GO:0006468"
"DOC_CYCLIN_yClb3_PxF_3"	"GO:0051301"
"DOC_CYCLIN_yClb3_PxF_3"	"GO:0016538"
"DOC_CYCLIN_yClb3_PxF_3"	"GO:0005829"
"DOC_CYCLIN_yClb3_PxF_3"	"GO:0005634"
"DOC_CYCLIN_yClb3_PxF_3"	"GO:0006468"
"DOC_CYCLIN_yClb3_PxF_3"	"GO:0019901"
"DOC_CYCLIN_yClb3_PxF_3"	"GO:0000321"
"DOC_CYCLIN_yClb3_PxF_3"	"GO:0007089"
"DOC_CYCLIN_yClb5_NLxxxL_5"	"GO:0007049"
"DOC_CYCLIN_yClb5_NLxxxL_5"	"GO:0030332"
"DOC_CYCLIN_yClb5_NLxxxL_5"	"GO:0016538"
"DOC_CYCLIN_yClb5_NLxxxL_5"	"GO:0005634"
"DOC_CYCLIN_yClb5_NLxxxL_5"	"GO:0006468"
"DOC_CYCLIN_yClb5_NLxxxL_5"	"GO:0000079"
"DOC_CYCLIN_yCln2_LP_2"	"GO:0051301"
"DOC_CYCLIN_yCln2_LP_2"	"GO:0016538"
"DOC_CYCLIN_yCln2_LP_2"	"GO:0005829"
"DOC_CYCLIN_yCln2_LP_2"	"GO:0044772"
"DOC_CYCLIN_yCln2_LP_2"	"GO:0005634"
"DOC_CYCLIN_yCln2_LP_2"	"GO:0019901"
"DOC_CYCLIN_yCln2_LP_2"	"GO:0000079"
"DOC_GSK3_Axin_1"	"GO:0032147"
